emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1/3/65,3/10/94,1/1/99,Senior Staff
10095,Hilari,Morton,1/3/65,3/10/94,1/1/99,Staff
10122,Ohad,Esposito,1/19/65,8/6/98,1/1/99,Technique Leader
10291,Dipayan,Seghrouchni,1/23/65,3/30/87,1/1/99,Senior Staff
10291,Dipayan,Seghrouchni,1/23/65,3/30/87,1/1/99,Staff
10476,Kokou,Iisaka,1/1/65,9/20/87,1/1/99,Senior Staff
10476,Kokou,Iisaka,1/1/65,9/20/87,1/1/99,Staff
10663,Teunis,Noriega,1/9/65,2/12/99,1/1/99,Technique Leader
10762,Lech,Himler,1/19/65,1/21/92,1/1/99,Senior Staff
10762,Lech,Himler,1/19/65,1/21/92,1/1/99,Staff
10933,Juyoung,Seghrouchni,1/24/65,8/2/93,1/1/99,Senior Engineer
12155,Keiichiro,Glinert,1/21/65,9/16/93,1/1/99,Engineer
12155,Keiichiro,Glinert,1/21/65,9/16/93,1/1/99,Senior Engineer
12408,Rasiah,Sudkamp,1/10/65,4/18/95,1/1/99,Senior Engineer
12643,Morrie,Schurmann,1/30/65,12/31/98,1/1/99,Staff
13499,Kazuhiko,Sidou,1/16/65,9/1/91,1/1/99,Technique Leader
14075,Denny,Tchuente,1/3/65,5/30/91,1/1/99,Assistant Engineer
14075,Denny,Tchuente,1/3/65,5/30/91,1/1/99,Engineer
14104,Sudhanshu,Demian,1/3/65,7/23/94,1/1/99,Senior Staff
14104,Sudhanshu,Demian,1/3/65,7/23/94,1/1/99,Staff
14127,Magdalena,Cannard,1/10/65,4/22/94,1/1/99,Engineer
14127,Magdalena,Cannard,1/10/65,4/22/94,1/1/99,Senior Engineer
14158,Caolyn,Setiz,1/22/65,2/6/90,1/1/99,Senior Staff
14158,Caolyn,Setiz,1/22/65,2/6/90,1/1/99,Staff
14476,Sastry,Marrevee,1/19/65,9/25/99,1/1/99,Engineer
14907,Nakhoon,Luga,1/14/65,12/18/86,1/1/99,Senior Staff
14907,Nakhoon,Luga,1/14/65,12/18/86,1/1/99,Staff
15050,Nikolaos,Kruskal,1/18/65,12/17/90,1/1/99,Engineer
15050,Nikolaos,Kruskal,1/18/65,12/17/90,1/1/99,Senior Engineer
15058,Bouchung,Bugrara,1/30/65,6/18/90,1/1/99,Senior Staff
15058,Bouchung,Bugrara,1/30/65,6/18/90,1/1/99,Staff
15413,Arvin,Rabejac,1/17/65,1/1/94,1/1/99,Engineer
15413,Arvin,Rabejac,1/17/65,1/1/94,1/1/99,Senior Engineer
16461,Remmert,Schahn,1/14/65,9/6/86,1/1/99,Senior Staff
16461,Remmert,Schahn,1/14/65,9/6/86,1/1/99,Staff
16528,Gaurav,Swick,1/21/65,5/7/96,1/1/99,Assistant Engineer
16528,Gaurav,Swick,1/21/65,5/7/96,1/1/99,Engineer
17013,Morris,Garigliano,1/15/65,5/24/95,1/1/99,Senior Staff
17013,Morris,Garigliano,1/15/65,5/24/95,1/1/99,Staff
17206,Berry,DeMori,1/2/65,12/27/92,1/1/99,Engineer
17206,Berry,DeMori,1/2/65,12/27/92,1/1/99,Senior Engineer
17369,Yaghout,Kenevan,1/31/65,9/15/00,1/1/99,Engineer
17369,Yaghout,Kenevan,1/31/65,9/15/00,1/1/99,Senior Engineer
17447,Zengping,Boreale,1/11/65,12/16/98,1/1/99,Staff
17731,Gennady,Roison,1/16/65,12/6/89,1/1/99,Assistant Engineer
17731,Gennady,Roison,1/16/65,12/6/89,1/1/99,Engineer
17970,Filipp,Carrere,1/6/65,1/9/89,1/1/99,Technique Leader
17988,Mabhin,Calkin,1/31/65,11/30/89,1/1/99,Engineer
17988,Mabhin,Calkin,1/31/65,11/30/89,1/1/99,Senior Engineer
18021,Adil,Matzke,1/7/65,5/8/87,1/1/99,Engineer
18021,Adil,Matzke,1/7/65,5/8/87,1/1/99,Senior Engineer
18424,Filipp,Rousseau,1/19/65,6/7/95,1/1/99,Engineer
18424,Filipp,Rousseau,1/19/65,6/7/95,1/1/99,Senior Engineer
18583,Stafford,Honglei,1/3/65,8/16/98,1/1/99,Staff
18617,Surveyors,Crouzet,1/21/65,4/24/89,1/1/99,Senior Staff
18617,Surveyors,Crouzet,1/21/65,4/24/89,1/1/99,Staff
18810,Taiji,Jarecki,1/9/65,6/27/91,1/1/99,Engineer
18810,Taiji,Jarecki,1/9/65,6/27/91,1/1/99,Senior Engineer
19236,Elzbieta,Morris,1/24/65,7/12/88,1/1/99,Engineer
