"emp_no","first_name","last_name","title","from_date","to_date","order"
10001,"Georgi","Facello","Senior Engineer","1986-06-26","9999-01-01",NULL
10004,"Chirstian","Koblick","Engineer","1986-12-01","1995-12-01",NULL
10004,"Chirstian","Koblick","Senior Engineer","1995-12-01","9999-01-01",NULL
10009,"Sumant","Peac","Assistant Engineer","1985-02-18","1990-02-18",NULL
10009,"Sumant","Peac","Engineer","1990-02-18","1995-02-18",NULL
10009,"Sumant","Peac","Senior Engineer","1995-02-18","9999-01-01",NULL
10018,"Kazuhide","Peha","Engineer","1987-04-03","1995-04-03",NULL
10018,"Kazuhide","Peha","Senior Engineer","1995-04-03","9999-01-01",NULL
10035,"Alain","Chappelet","Engineer","1988-09-05","1996-09-05",NULL
10035,"Alain","Chappelet","Senior Engineer","1996-09-05","9999-01-01",NULL
10053,"Sanjiv","Zschoche","Senior Staff","1994-11-13","9999-01-01",NULL
10058,"Berhard","McFarlin","Senior Staff","1988-04-25","9999-01-01",NULL
10066,"Kwee","Schusler","Assistant Engineer","1986-02-26","1992-02-26",NULL
10066,"Kwee","Schusler","Engineer","1992-02-26","1998-02-25",NULL
10066,"Kwee","Schusler","Senior Engineer","1998-02-25","9999-01-01",NULL
10067,"Claudi","Stavenow","Engineer","1987-03-04","1996-03-03",NULL
10067,"Claudi","Stavenow","Senior Engineer","1996-03-03","9999-01-01",NULL
10070,"Reuven","Garigliano","Technique Leader","1985-10-14","9999-01-01",NULL
10072,"Hironoby","Sidou","Engineer","1989-05-21","1995-05-21",NULL
10072,"Hironoby","Sidou","Senior Engineer","1995-05-21","9999-01-01",NULL
10076,"Erez","Ritzmann","Senior Engineer","1996-07-15","9999-01-01",NULL
10088,"Jungsoon","Syrzycki","Senior Staff","1993-09-02","9999-01-01",NULL
10088,"Jungsoon","Syrzycki","Staff","1988-09-02","1993-09-02",NULL
10100,"Hironobu","Haraldson","Senior Staff","1994-09-21","9999-01-01",NULL
10100,"Hironobu","Haraldson","Staff","1987-09-21","1994-09-21",NULL
10103,"Akemi","Birch","Engineer","1998-01-12","9999-01-01",NULL
10126,"Kayoko","Valtorta","Senior Staff","1991-09-08","9999-01-01",NULL
10126,"Kayoko","Valtorta","Staff","1985-09-08","1991-09-08",NULL
10129,"Armond","Peir","Technique Leader","1996-01-16","9999-01-01",NULL
10130,"Nishit","Casperson","Senior Engineer","1988-06-21","9999-01-01",NULL
